ID	Education	Gender	Wage	Country
246	16	1	6309.8	US
247	13	2	4699.3	US
248	15	1	5915.5	US
249	13	2	4722.7	US
250	14	1	5623.7	US
251	14	1	5624.3	US
252	13	2	4628.7	US
253	17	1	6867.8	US
254	19	2	6927.6	US
255	10	1	3807.1	US
256	19	1	7347.3	US
257	20	2	7235.5	US
258	15	1	5951.5	US
259	11	2	3840.1	US
260	17	1	6785.5	US
261	18	1	7131.5	US
262	12	2	4260.8	US
263	19	1	7598.3	US
264	13	2	4696.9	US
265	14	1	5562.1	US
266	18	1	7321.7	US
267	13	2	4492	US
268	11	1	4389.6	US
269	19	2	6980.5	US
270	11	1	4481	US
271	15	1	5879.8	US
272	12	2	4246.9	US
273	14	1	5643	US
274	11	2	3895.7	US
275	15	1	5977.4	US
276	15	1	6067.4	US
277	18	2	6488.1	US
278	13	1	5437.3	US
279	18	2	6615.7	US
280	20	1	7958.8	US
281	16	1	6482.4	US
282	12	2	4345.7	US
283	12	1	4716.3	US
284	18	2	6577.7	US
285	12	1	4582.4	US
286	15	1	5820.2	US
287	15	2	5422.8	US
288	14	1	5712.2	US
289	16	2	5576.6	US
290	13	1	5072.7	US
291	12	1	4792.2	US
292	13	2	4443.8	US
293	12	1	4885.8	US
294	11	2	3785.4	US
295	14	1	5543	US
296	19	1	7709.7	US
297	13	2	4524.8	US
298	13	1	5247.5	US
299	12	2	4205.3	US
300	14	1	5470.2	US
301	14	1	5647.7	Canada
302	12	2	4096.8	Canada
303	18	1	7122.1	Canada
304	13	2	4799.5	Canada
305	21	1	8453.5	Canada
306	16	1	6377.5	Canada
307	14	2	5006.2	Canada
308	16	1	6287.2	Canada
309	9	2	2875	Canada
310	17	1	6816.9	Canada
311	19	1	7687.4	Canada
312	10	2	3630	Canada
313	18	1	7072.7	Canada
314	17	2	6051.6	Canada
315	7	1	2686	Canada
316	14	1	5714.9	Canada
317	12	2	4027.3	Canada
318	12	1	4657.5	Canada
319	22	2	8232.2	Canada
320	14	1	5673.9	Canada
321	12	1	4678.9	Canada
322	12	2	4239.9	Canada
323	16	1	6355.2	Canada
324	16	2	5638.9	Canada
325	19	1	7553.6	Canada
326	13	1	5282.7	Canada
327	21	2	7649.6	Canada
328	20	1	7993.9	Canada
329	14	2	4899.7	Canada
330	14	1	5629.6	Canada
331	15	1	6025.1	Canada
332	18	2	6583.4	Canada
333	14	1	5628.6	Canada
334	16	2	5791.5	Canada
335	15	1	6157.3	Canada
336	14	1	5581.5	Canada
337	16	2	5849.6	Canada
338	19	1	7522.9	Canada
339	11	2	3947	Canada
340	9	1	3608.6	Canada
341	12	1	4938.3	Canada
342	13	2	4692.5	Canada
343	13	1	4961.3	Canada
344	13	2	4855.9	Canada
345	12	1	4835.3	Canada
346	17	1	6882.4	Canada
347	17	2	6152.3	Canada
348	12	1	4793.2	Canada
349	16	2	5907.2	Canada
350	11	1	4448.4	Canada
351	16	1	6470.4	Canada
352	11	2	3753.2	Canada
353	17	1	6950.6	Canada
354	14	2	5150.1	Canada
355	19	1	7479.8	Canada
356	17	1	6807.9	Canada
357	14	2	4801.8	Canada
358	12	1	4998.8	Canada
359	19	2	7120.4	Canada
360	16	1	6295.1	Canada
361	16	1	6403.6	Canada
362	17	2	6267.4	Canada
363	12	1	4703.8	Canada
364	13	2	4723	Canada
365	16	1	6514.2	Canada
366	14	1	5565.2	Canada
367	17	2	6307.5	Canada
368	14	1	5508.8	Canada
369	17	2	6054.8	Canada
370	12	1	4773	Canada
371	10	1	4069.4	Canada
372	16	2	5912.5	Canada
373	13	1	5186.6	Canada
374	19	2	6901.5	Canada
375	17	1	6659.1	Canada
376	15	1	6088.3	Canada
377	10	2	3303.1	Canada
378	15	1	5830.6	Canada
379	16	2	5818.5	Canada
380	14	1	5670.4	Canada
381	13	1	5234.2	Canada
382	14	2	5071.7	Canada
383	15	1	5980	Canada
384	14	2	5105.6	Canada
385	11	1	4542.4	Canada
386	13	1	5102.2	Canada
387	17	2	6374	Canada
388	11	1	4517.9	Canada
389	9	2	3134.6	Canada
390	17	1	6630.3	Canada
391	15	1	6033.9	Canada
392	13	2	4562.6	Canada
393	13	1	5119.6	Canada
394	17	2	6403.6	Canada
395	12	1	4816.1	Canada
396	13	1	5272.6	Canada
397	8	2	2640.5	Canada
398	18	1	7126.4	Canada
399	13	2	4679.4	Canada
400	17	1	6698.4	Canada
401	16	1	6676	Canada
402	15	2	5551.6	Canada
403	7	1	2721.4	Canada
404	18	2	6515.7	Canada
405	7	1	2867	Canada
406	15	1	5979.8	Canada
407	9	2	2833.7	Canada
408	5	1	2047.2	Canada
409	22	2	8329	Canada
410	16	1	6359.5	Canada
411	18	1	7198.8	Canada
412	11	2	3930.7	Canada
413	9	1	3644.1	Canada
414	17	2	6030.5	Canada
415	15	1	6088.7	Canada
416	11	1	4379.7	Canada
417	17	2	6119.2	Canada
418	14	1	5694.9	Canada
419	10	2	3238.4	Canada
420	12	1	4848.1	Canada
421	12	1	4887.7	Canada
422	19	2	7035	Canada
423	20	1	8014.5	Canada
424	10	2	3420.6	Canada
425	18	1	7252.7	Canada
426	9	1	3662.4	Canada
427	11	2	3763.7	Canada
428	14	1	5672.9	Canada
429	15	2	5443	Canada
430	15	1	5960.8	Canada
431	15	1	6028.2	Canada
432	13	2	4693.2	Canada
433	11	1	4428.8	Canada
434	16	2	5776.1	Canada
436	14	1	5408.6	Canada
437	16	2	5731.4	Canada
438	15	1	5990.4	Canada
439	13	2	4845.1	Canada
440	6	1	2427.9	Canada
441	14	1	5654	Canada
442	16	2	5925.9	Canada
443	18	1	7122	Canada
444	15	2	5532.3	Canada
445	11	1	4330.8	Canada
446	17	1	6807.7	Canada
447	14	2	4866.5	Canada
448	9	1	3625.9	Canada
449	12	2	4072.6	Canada
450	13	1	5179.7	Canada
451	14	1	5714.8	Canada
452	19	2	6850.3	Canada
453	16	1	6410.3	Canada
454	15	2	5490.5	Canada
455	17	1	6849.2	Canada
456	13	1	5147.5	Canada
457	11	2	3782.3	Canada
458	12	1	4942	Canada
459	14	2	4859	Canada
460	13	1	5085.6	Canada
461	15	1	6081.9	Canada
462	17	2	6173.5	Canada
463	14	1	5701.6	Canada
464	13	2	4574.1	Canada
465	18	1	7266.6	Canada
466	17	1	6722.9	Canada
467	16	2	5894.1	Canada
468	20	1	7816.9	Canada
469	13	2	4594.2	Canada
470	12	1	4794.2	Canada
471	15	1	6207.1	Canada
472	15	2	5544	Canada
473	17	1	6950.8	Canada
474	15	2	5625.9	Canada
475	17	1	6896.6	Canada
476	14	1	5764.4	Canada
477	17	2	6151.2	Canada
478	12	1	4883.2	Canada
479	20	2	7374.4	Canada
480	13	1	5121.3	Canada
481	12	1	4715.2	Canada
482	18	2	6568.8	Canada
483	15	1	5893.8	Canada
484	11	2	3883.6	Canada
485	13	1	5127.3	Canada
486	15	1	5987.9	Canada
487	15	2	5462.7	Canada
488	13	1	5248.5	Canada
489	16	2	5878.5	Canada
490	15	1	6060.1	Canada
491	15	1	6052.6	Canada
492	13	2	4607.5	Canada
493	12	1	4862.7	Canada
494	14	2	5081.1	Canada
495	18	1	7014.4	Canada
496	15	1	5898.4	Canada
497	19	2	6883.9	Canada
498	7	1	2903.2	Canada
499	12	2	4230.8	Canada
500	13	1	5005.1	Canada
